,topic_Australia,tweet_volume_Australia
0,Butter,1766836
1,Daniel,419251
2,jaemin,344450
3,China,316094
4,Bighit,265963
5,Jesus,259602
6,haechan,223600
7,chenle,162644
8,Bangtan,135753
9,The West,123831
10,soobin,96595
11,Christian,81439
12,#LesbianVisibilityDay,80874
13,tommy,72325
14,joon,67940
15,McDonald,67141
16,Bible,49580
17,Danny,48100
18,Gods,44726
19,Sony,44662
20,BILLIE,43352
21,Alien,41399
22,Oops,36418
23,Morgan,35513
24,Ahhhh,33825
25,Satan,30734
26,Emperor,23963
27,Catholic,16690
28,Hawaii,15011
29,Patty,14648
30,Tariq,14250
31,Denise,11242
32,Ben Barnes,10944
33,#BBAU,
34,#4Corners,
35,#ScottyFromHillsong,
36,Mike Pezzullo,
37,Pentecostal,
38,#scomoses,
39,Ratchet and Clank,
40,Andrew Bolt,
41,ronni,
42,Greta Thunberg,
43,Latham,
44,Leigh Sales,
45,Oh FFS,
46,RWNJ,
47,gladys,
48,Shhh,
49,Dan Murphy,
