,topic_Indonesia,tweet_volume_Indonesia
0,Butter,1766836
1,Dynamite,968572
2,Comeback,834504
3,#SEVENTEEN,385644
4,Bighit,265963
5,Jake,255603
6,MY HEART,242251
7,NEW SINGLE,221172
8,Spring,199833
9,CAN'T WAIT,198874
10,WHAT'S MELTING,179920
11,chenle,162835
12,Bangtan,135753
13,#CHANYEOL,134214
14,#Every27thWithLOEY,124824
15,Sehun,119967
16,BTS IS COMING,100171
17,Tahu,84822
18,Irene,75295
19,BTSARMY RUN FOR BTS,75028
20,ASMR,68218
21,#LOEYxStudioNNG,47917
22,D-30,47062
23,BILLIE,44005
24,6th Anniversary Challenge,41329
25,Sejam,41121
26,ITZY IS DIFFERENT,38976
27,Day-30,36165
28,Darah,20153
29,kwon mina,20080
30,Mentega,18433
31,Geonu,15131
32,21 Mei,13578
33,Meleleh,13052
34,#IkatanCintaEp251,11355
35,BTS IS BACK,
36,LEE HAECHAN,
37,gitu doang,
38,Ultimate Bias,
39,Sunda Empire,
40,P'Tay,
41,Komnas HAM,
42,Rimar,
43,Nunggu 1,
44,Burung,
45,Keju,
46,Jeon Wonwoo,
47,bu risma,
48,11.00 WIB,
49,GERD,
