,topic_Dallas-Ft. Worth,tweet_volume_Dallas-Ft. Worth
0,Oscars,2515253
1,Butter,1654782
2,#ENHYPEN,1581203
3,NEW SINGLE,208367
4,Anthony Hopkins,142508
5,Bangtan,132830
6,sehun,109410
7,#MondayMotivation,104930
8,YouTube TV,94952
9,BTS IS COMING,91926
10,#LesbianVisibilityDay,76273
11,Scorpio,72340
12,Don Gato,64815
13,Fields,41229
14,Auron,28021
15,Rubio,23678
16,Roku,22873
17,Texas and Florida,20450
18,49ers,15696
19,Arenas,14471
20,kwon mina,14279
21,Tariq,13680
22,Draft Week,11866
23,Many Americans,10854
24,Tim Ryan,10688
25,Native American,10261
26,Rick Santorum,
27,Dr. Umar,
28,#AlienDay,
29,#whatsmelting,
30,yeezy slides,
31,Julio Jones,
32,Carol Burnett,
33,Rivet,
34,Andrew Shaw,
35,Second Amendment,
36,Rift Apart,
37,Falcons,
38,Elizabeth City,
39,Plymouth Middle School,
40,Birth of a Nation,
41,Tjarks,
42,Tyrese,
43,Sam Johnson,
44,Doug Collins,
45,Joseline,
46,VALKYRIE ROCK VERSION,
47,Iroquois Confederacy,
48,La Perla,
49,The Noid,
