,topic_Israel,tweet_volume_Israel
0,Google,602657
1,Trump,381363
2,Pfizer,222854
3,#Bitcoin,185589
4,Holocaust,21104
5,mickey,20960
6,#Iran,15613
7,יאיר נתניהו,
8,Knesset,
9,עם מי,
10,מזל טוב,
11,בית ספר,
12,תודה רבה,
13,אמא שלי,
14,של סער,
15,#Israel,
16,#סליחה,
17,גדעון סער,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
