,topic_Patna,tweet_volume_Patna
0,Butter,1644944
1,Dynamite,950905
2,Comeback,822285
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,208367
6,WHAT'S MELTING,176429
7,Bangtan,132830
8,SSR Killed By Strangulation,120297
9,#Every27thWithLOEY,113005
10,sehun,109410
11,#SeetiMaar,80452
12,irene,73485
13,Please Donate,72914
14,Donated,69483
15,ASMR,67070
16,Jordan,66556
17,McDonald,65570
18,चुनाव आयोग,48127
19,The Australian,39868
20,#End_Casteism_In_IIT,38177
21,Betty,33217
22,#RealStory_Of_Hanumanji,25739
23,Armed Forces,23586
24,#FailedPMModi,21062
25,BCCI,17080
26,#PBKSvKKR,15181
27,Patty,14459
28,#Savebihar,13648
29,CRED,13439
30,Thanks Pat,11403
31,ssrians help in covid crisis,10627
32,NGOs,10375
33,#RemoveKejriVirus,
34,bookone show crorepati,
35,Dusk Blue,
36,Amul,
37,IIT Kharagpur,
38,Huge Respect,
39,EAT JIN,
40,Madras HC,
41,Naxals,
42,IITs,
43,Andrew Tye,
44,Great Gesture,
45,Niti Aayog,
46,Favourite Moment,
47,Indian Cricketers,
48,CROREPATI OFFER,
49,#StopPlasticPollution,
