,topic_Mumbai,tweet_volume_Mumbai
0,Butter,1654782
1,Dynamite,950905
2,Comeback,822285
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,208367
6,WHAT'S MELTING,176429
7,Bangtan,132830
8,SSR Killed By Strangulation,120325
9,sehun,109410
10,#SeetiMaar,80396
11,irene,73608
12,Please Donate,72914
13,Donated,69550
14,ASMR,67070
15,Jordan,66556
16,McDonald,65570
17,#StayStrongIndia,55214
18,चुनाव आयोग,48171
19,The Australian,39922
20,#End_Casteism_In_IIT,38414
21,Betty,33217
22,#RealStory_Of_Hanumanji,25947
23,#ModiHaiTohMumkinHai,24477
24,Armed Forces,23586
25,#FailedPMModi,21166
26,BCCI,17098
27,#PBKSvKKR,15181
28,Patty,14471
29,CRED,13439
30,Thanks Pat,11403
31,SSRians Help In Covid Crisis,10627
32,NGOs,10381
33,bookone show crorepati,
34,Dusk Blue,
35,Amul,
36,IIT Kharagpur,
37,Huge Respect,
38,EAT JIN,
39,Madras HC,
40,Dear Pat,
41,Naxals,
42,IITs,
43,Andrew Tye,
44,Great Gesture,
45,Niti Aayog,
46,Favourite Moment,
47,Indian Cricketers,
48,CROREPATI OFFER,
49,#RemoveKejriVirus,
