,topic_Ahmedabad,tweet_volume_Ahmedabad
0,Butter,1654782
1,Dynamite,950905
2,Comeback,821465
3,namjoon,358422
4,HYBE,330071
5,NEW SINGLE,208367
6,WHAT'S MELTING,176202
7,Bangtan,132830
8,SSR Killed By Strangulation,120297
9,sehun,109410
10,irene,73608
11,Please Donate,72914
12,Donated,69483
13,ASMR,67070
14,Jordan,66556
15,McDonald,65570
16,चुनाव आयोग,48127
17,The Australian,39868
18,#End_Casteism_In_IIT,38414
19,Betty,33217
20,#RealStory_Of_Hanumanji,25739
21,Armed Forces,23553
22,#FailedPMModi,21062
23,BCCI,17080
24,#PBKSvKKR,15181
25,Patty,14471
26,CRED,13414
27,Thanks Pat,11403
28,SSRians Help In Covid Crisis,10627
29,NGOs,10375
30,bookone show crorepati,
31,Dusk Blue,
32,Amul,
33,IIT Kharagpur,
34,Huge Respect,
35,EAT JIN,
36,Madras HC,
37,Naxals,
38,IITs,
39,Andrew Tye,
40,Great Gesture,
41,Niti Aayog,
42,Favourite Moment,
43,Indian Cricketers,
44,CROREPATI OFFER,
45,#RemoveKejriVirus,
46,,
47,,
48,,
49,,
