,topic_Nigeria,tweet_volume_Nigeria
0,Daniel Kaluuya,204129
1,Success,175168
2,Henry,121759
3,#Airdrop,113191
4,#EricaxLatiziaMagazine,81309
5,Boko Haram,59858
6,Channels TV,53815
7,Marriage,53690
8,Dave,48360
9,#DearOzo,30977
10,ACTRESS ERICA,29335
11,OZOEMENA CHUKWU,27431
12,Fulani,25843
13,Ramos,25746
14,ANTICIPATE THE WIG,22952
15,Rivers,18822
16,nigerian army,16353
17,Kaduna state university,16179
18,Mazi,15228
19,Varane,14074
20,Bailly,13866
21,Nigerian Airforce,13454
22,Igbariam,13035
23,Rooney,12780
24,Borno,12623
25,International Tbaj,12301
26,Bundesliga,11899
27,Okada,11401
28,Tutu,10758
29,Blaqbonez,10722
30,Geidam,10091
31,#HeistOro,
32,#SlayMovieOnNetflix,
33,Iyana Iba,
34,Miyetti Allah,
35,#PrimalNetwork,
36,Niger Delta,
37,NURTW,
38,Anambra,
39,LASU,
40,Igbos,
41,Hausa,
42,uy scuti,
43,Baddo,
44,nasty c,
45,giggs,
46,Sunday Igboho,
47,Goro,
48,#sexoverlove,
49,#2DaysToTheWig,
