,topic_Belarus,tweet_volume_Belarus
0,COVID-19,1049768
1,ЧАЭС,
2,Чернобыльской АЭС,
3,Беларуси,
4,Интересно,
5,Поздравляю,
6,Оооо,
7,#Belarus,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
