,topic_South Africa,tweet_volume_South Africa
0,Butter,1859364
1,President,395423
2,I 1 2,147895
3,I 1-2,147783
4,Henry,121645
5,Solidarity,84278
6,Andre,54108
7,Yusuf,33584
8,Tyler Perry,29954
9,OZOEMENA CHUKWU,27470
10,ANTICIPATE THE WIG,23081
11,CCTV,18440
12,Jessie,17965
13,Ramaphosa,16254
14,Lasizwe,13625
15,Rooney,12780
16,Norma,12016
17,Pork,11695
18,Zuma,10684
19,#CapitecLiveBetter,
20,Simphiwe Dana,
21,#titsoutforkeenan,
22,#ReactionMonday,
23,#7delaan,
24,#StateCaptureInquiry,
25,Lesedi,
26,Pitso,
27,Chicken Licken,
28,Gigaba,
29,Gama,
30,washington arubi,
31,Danny Jordan,
32,Safa,
33,Tyrese,
34,Tswana,
35,Xhosa,
36,Northwold,
37,grade 11,
38,Steers,
39,bafana,
40,Whitney Houston,
41,tsonga,
42,Connie,
43,News Cafe,
44,Sandra Stein,
45,Mogodu,
46,CIPC,
47,Cosatu,
48,somalian,
49,Smeg,
