,topic_Amman,tweet_volume_Amman
0,الكويت,323933
1,لبنان,87542
2,Jordan,69372
3,الهند,33379
4,#القدس_تنتصر,30453
5,عمان,27292
6,#رمضان_مبارك,27100
7,#كورونا,20364
8,#الامارات,12380
9,#حمزه_مش_امير_حمزه_وطن9,
10,علي السلامه,
11,#الاردن,
12,#سرايا,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
