,topic_Algiers,tweet_volume_Algiers
0,#iHeartAwards,3214239
1,#BestFanArmy,2171176
2,#BTSARMY,1238363
3,#BTS_Butter,386614
4,WHAT'S MELTING,172635
5,Ramadan,142459
6,joon,68691
7,#Algérie,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
