,topic_Buenos Aires,tweet_volume_Buenos Aires
0,#ENHYPEN,1514243
1,#BORDER_CARNIVAL,888679
2,#방탄소년단,529273
3,#NCTDREAM_맛_HotSauce,430561
4,#Drunk_Dazed,404063
5,#BTS_Butter,262561
6,QUE ES ESTO,182271
7,Chloé Zhao,177988
8,Oscar 2021,161880
9,WHAT'S MELTING,159546
10,CHENLE,139942
11,Bangtan,121044
12,Brad,119831
13,El 26,103514
14,#ITZY,70210
15,#LesbianVisibilityDay,62281
16,McDonald,62100
17,Chernobyl,35795
18,noelle,27406
19,BTS IS COMING,26295
20,#FelizLunes,26042
21,Dolina,22121
22,#GuessWho_MVTeaser1,21765
23,Holan,21195
24,Sinopharm,20985
25,Borges,16867
26,Ibai,16676
27,Virrey,14788
28,MANTECA,12436
29,Escorpio,11319
30,#BuenLunes,
31,#Navarro2023,
32,Carlos Bianchi,
33,INDEC,
34,#elclubdelmoro,
35,Daniel Gollan,
36,Luis Vázquez,
37,Dipy,
38,Matías Rojas,
39,ivan noble,
40,Florencia Peña,
41,Ministerio Público Fiscal,
42,Bossio,
43,Pappo,
44,Fernán Quirós,
45,Nueva Zelanda,
46,Angelina,
47,abel pintos,
48,#QuieroLaCamiseta,
49,#BuenosDiasATodos,
