,topic_Philippines,tweet_volume_Philippines
0,Butter,1859364
1,THAT'S IT,1577130
2,Dynamite,986301
3,bighit,271805
4,NEW SINGLE,230779
5,haechan,226816
6,WHAT'S MELTING,182643
7,Chenle,165475
8,#CHANYEOL,142066
9,Bangtan,138037
10,#Every27thWithLOEY,133312
11,Sehun,127472
12,New Album,106447
13,BTS IS COMING,106268
14,BTS COMEBACK,92300
15,Irene,76768
16,BTSARMY RUN FOR BTS,76709
17,#BoringJalapeño_Day2,73550
18,ASMR,69028
19,DEIB AND MAXPEIN,64968
20,Leon,60711
21,BILLIE,53890
22,WHAT'S HAPPENING,49315
23,jihyo,43095
24,#GuessWho_MVTeaser1,40705
25,ITZY IS DIFFERENT,39435
26,allkpop,35901
27,meet ceo heart,26339
28,kwon mina,25180
29,mondate with ellaizyl,22622
30,Na Jaemin,22433
31,lele,18718
32,BEST BOY MINGHAO,14686
33,CHIMANDA FOR VERSUS,14108
34,SAVE THE DATE,13357
35,SeChan,13137
36,2min,11977
37,ralphgail 4 crismar ls,10622
38,STREAM BOY ON YOUTUBE,10220
39,P'Tay,10014
40,#weloveTHE8,
41,HAPPY BIRTHDAY AKIRA,
42,AKIng Kaarawan NaBukas,
43,YUN NA YON,
44,summer package,
45,Eat Jin,
46,franzeya 2ndmonthsary,
47,Gordon Ramsay,
48,lee donghyuck,
49,mc soobin,
