,topic_Chile,tweet_volume_Chile
0,#ENHYPEN,1605636
1,#BORDER_CARNIVAL,890093
2,#방탄소년단,638573
3,#BTS_Butter,470378
4,#Drunk_Dazed,423742
5,El 1%,396845
6,El 2%,270401
7,QUE ES ESTO,187032
8,#CHANYEOL,134214
9,BTS IS COMING,100171
10,Congreso,96720
11,#LesbianVisibilityDay,81120
12,Don Gato,75519
13,Las AFP,68015
14,McDonalds,54937
15,BILLIE,44005
16,Parada,36016
17,Auron,30679
18,#FelizLunes,29202
19,Holan,25219
20,Ignorante,24827
21,Pensiones,24696
22,Paco,20686
23,Javiera,15773
24,200 Lucas,13359
25,AFPs,12302
26,Bellolio,
27,#CuarentenaMG,
28,#ContigoEnLaManana,
29,#RetiroYRecuperación,
30,Julio César,
31,Pymes,
32,Cadem,
33,Cobreloa,
34,SENAME,
35,Pizarro,
36,Blumel,
37,Lukas,
38,#EraModernaPeliculas,
39,#estoesautopizta,
40,#contigoCHVCNN,
41,#BuenosDíasTVN,
42,#TercerRetito10XCiento,
43,#RadioLasCondes,
44,#tercerretirodel10,
45,#BuenLunes,
46,#IzquierdaMiserable,
47,#nomasafp,
48,,
49,,
