,topic_Alexandria,tweet_volume_Alexandria
0,Spotify,798180
1,Biden,589911
2,#BTS_Butter,389614
3,الامارات,344053
4,China,323885
5,Queen,269498
6,Jesus,265031
7,Bestie,235935
8,#البرلمان_يدعم_الصيادله,184488
9,Zendaya,177699
10,14 رمضان,110296
11,أحمد,85298
12,McDonald,66161
13,ابراهيم,45859
14,الخطيب,42269
15,#DV2021,38123
16,#KCC_Not_Working,30437
17,وزارة الصحة,28319
18,Egypt,23486
19,تركيا,21885
20,رييس الوزراء,12838
21,علي الحبيب,12514
22,#عماره_الحاج_رمضان_شقه14,
23,حسام حسن,
24,عماد متعب,
25,محمد صلاح,
26,اليوم الاثنين,
27,عدي علي,
28,العيد الصغير,
29,علي الفاضي,
30,صالح سليم,
31,جمال عبد الناصر,
32,البنك الاهلي,
33,ياسر,
34,ابو تريكة,
35,حسن التربيه,
36,علي الفطار,
37,فخر العرب,
38,cairo,
39,ايطاليا,
40,عنا البلاء,
41,انستجرام,
42,تيك توك,
43,ابو ادم,
44,اردوغان,
45,الفطار النهارده,
46,ايس كريم,
47,القايمه الكامله,
48,علي حسب الظروف,
49,,
