,topic_Brisbane,tweet_volume_Brisbane
0,Daniel,416527
1,namjoon,365483
2,#BTS_Butter,330775
3,jaemin,328150
4,Jake,266738
5,Jesus,261390
6,bighit,239984
7,HAECHAN,213264
8,CHENLE,150447
9,Bangtan,128191
10,The West,125893
11,Christian,81735
12,#LesbianVisibilityDay,64727
13,McDonald,64544
14,Roma,51755
15,Bible,50311
16,Bayern,49426
17,Danny,48354
18,Gods,45156
19,Sony,44671
20,Morgan,34996
21,billie,34728
22,Jets,33445
23,Satan,31563
24,Matthew,27957
25,Emperor,25137
26,Laying,24672
27,Katie,23020
28,Mickey,21462
29,Hawaii,15312
30,prosperity,15273
31,Patty,14689
32,Denise,11287
33,#BBAU,
34,#BigBrotherAU,
35,#YouTubeDOWN,
36,Mike Pezzullo,
37,steve price,
38,Pentecostal,
39,Old Testament,
40,andrew bolt,
41,Hayden,
42,ronni,
43,Greta Thunberg,
44,Oh FFS,
45,Latham,
46,Gladys,
47,Leigh Sales,
48,New Testament,
49,Dan Murphy,
