,topic_El Paso,tweet_volume_El Paso
0,Butter,1654782
1,#ENHYPEN,1581203
2,NEW SINGLE,208367
3,Anthony Hopkins,142547
4,Bangtan,132830
5,sehun,109410
6,#MondayMotivation,105097
7,YouTube TV,94952
8,BTS IS COMING,91926
9,#LesbianVisibilityDay,76273
10,Good Monday,47057
11,Fields,41229
12,Auron,27845
13,Rubio,23678
14,Roku,22873
15,Texas and Florida,20424
16,49ers,15696
17,Arenas,14528
18,kwon mina,14279
19,Tariq,13711
20,Draft Week,11866
21,Many Americans,10844
22,Tim Ryan,10688
23,Native American,10261
24,Rick Santorum,
25,Dr. Umar,
26,#AlienDay,
27,yeezy slides,
28,Julio Jones,
29,Carol Burnett,
30,Rivet,
31,Andrew Shaw,
32,Second Amendment,
33,Rift Apart,
34,Falcons,
35,Elizabeth City,
36,Birth of a Nation,
37,Plymouth Middle School,
38,Tyrese,
39,Tjarks,
40,Doug Collins,
41,Sam Johnson,
42,Joseline,
43,VALKYRIE ROCK VERSION,
44,La Perla,
45,Shawzy,
46,Iroquois Confederacy,
47,The Noid,
48,Matt Ryan,
49,,
