,topic_Hai Phong,tweet_volume_Hai Phong
0,#iHeartAwards,3513194
1,#enhypen,1594998
2,#BORDER_CARNIVAL,911309
3,#BestMusicVideo,904712
4,#Dynamite,771070
5,#방탄소년단,605893
6,#BTS_Butter,389614
7,#FaveChoreography,353751
8,#หัวท้ายตายก่อนxมิว,344629
9,jaemin,338949
10,WHAT'S MELTING,172635
11,#GulfKanawut,139674
12,Bangtan,132849
13,#winmetawin,111299
14,hanbin,88765
15,iHEART YOU WANNA,82643
16,IRENE,73465
17,#GetWellSoonTayTawan,71826
18,BTSARMY RUN FOR BTS,68486
19,#SUGA,53696
20,Người,33287
21,#YESUNG_Beautiful_Night,28562
22,#ELF_Beautiful_Night,27805
23,#여자아이들,26544
24,hưng,23832
25,GULF NIGHT,22463
26,VOTING TIME WITH BVF,
27,cùng đón chờ em í nhoé,
28,#MTPEntertainment,
29,#MTPTalent,
30,official poster,
31,#MuonRoiMaSaoCon,
32,điện,
33,Bánh,
34,nghiêu,
35,Trời,
36,Hoàng,
37,Cười,
38,#SonTungMTP,
39,#LaunchZonePoolX,
40,#maybaybagia,
41,#sinhvien,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
