,topic_Lodz,tweet_volume_Lodz
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,#Drunk_Dazed,403828
4,HYBE,310418
5,chanyeol,104522
6,sehun,64145
7,#LesbianVisibilityDay,62281
8,McDonald,62100
9,Miłego,25068
10,Nagelsmann,22611
11,CO JEST,15303
12,PROUD OF NIALL,12456
13,Masło,
14,Lewicy,
15,Lidlu,
16,Ekipa,
17,#matura2021,
18,Czarnobylu,
19,Migalski,
20,PiSem,
21,cichociemni,
22,Krajowego Planu Odbudowy,
23,Bangtani,
24,Lugola,
25,Funduszu Odbudowy,
26,bayernie,
27,Kolor,
28,PiSowi,
29,Hołownia,
30,Sejmie,
31,hbo go,
32,koksy,
33,Czechami,
34,CO TO JEST,
35,lipsku,
36,Podrywacze,
37,Różowy,
38,Matma,
39,Brosz,
40,Wybieram,
41,Wrocławiu,
42,Sobolewski,
43,fioletowy,
44,hyballe,
45,PiSu,
46,Warzechy,
47,Nepo,
48,Kamila,
49,Zandberg,
