,topic_Quebec,tweet_volume_Quebec
0,Enhypen,2042659
1,COVID-19,1036145
2,Johnson & Johnson,246289
3,guy a.,223828
4,#BTS_Butter,222662
5,bighit,213506
6,HAECHAN,190833
7,CHENLE,132483
8,Bangtan,117547
9,#MondayMotivation,96873
10,Hana,65447
11,Irene,63825
12,McDonald,60320
13,#LesbianVisibilityDay,60188
14,Good Monday,44219
15,Fields,39840
16,THATS IT,37710
17,Tubbo,35763
18,Erin,18256
19,CBC News,14336
20,Tariq,12536
21,Rudy,12198
22,Ratchet & Clank,10068
23,Andrew Shaw,
24,Emily Victoria Viegas,
25,#whatsmelting,
26,#PaidSickDays,
27,Brampton,
28,Santorum,
29,Bill 247,
30,Julio Jones,
31,"aylmer, ont",
32,Port of Montreal,
33,Duhaime,
34,Guillaume,
35,derek sloan,
36,Chargers,
37,PC MPPs,
38,adam vaughan,
39,Toronto Star,
40,Conrad,
41,Native American,
42,TLMEP,
43,Essex,
44,Waddle,
45,york region,
46,Newfoundland,
47,Nova Scotia,
48,lemay,
49,Denver,
