,topic_Jordan,tweet_volume_Jordan
0,الكويت,317340
1,لبنان,84170
2,Jordan,67609
3,Arab,45533
4,الهند,31722
5,عمان,27121
6,#مقاطعه_المنتجات_الفرنسيه181,20517
7,#كورونا,19507
8,#حمزه_مش_امير_حمزه_وطن9,
9,#الاردن,
10,ابو مازن,
11,علي السلامه,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
