,topic_Durban,tweet_volume_Durban
0,Butter,1507581
1,President,397596
2,I 1-2,147644
3,I 1 2,147586
4,Henry,119136
5,Solidarity,85728
6,#EricaxLatiziaMagazine,73651
7,McDonald,66161
8,Yusuf,34014
9,Tyler Perry,29307
10,OZOEMENA CHUKWU,25302
11,Hawks,23888
12,ANTICIPATE THE WIG,19527
13,jessie,18556
14,CCTV,16682
15,Ramaphosa,15030
16,lasizwe,12881
17,Venda,12222
18,Rooney,12087
19,Zuma,10678
20,Duarte,10050
21,Simphiwe Dana,
22,#titsoutforkeenan,
23,Pitso,
24,Chicken Licken,
25,#KayaDrive,
26,Washington Arubi,
27,Gama,
28,News Cafe,
29,CIPC,
30,SAFA,
31,Xhosa,
32,Danny Jordan,
33,Tyrese,
34,Tsonga,
35,Sandra Stein,
36,Bonnie,
37,Scholes,
38,tswana,
39,Marikana,
40,Steers,
41,making lunch,
42,William Nicol,
43,Grade 11,
44,Mr Smeg,
45,Bafana,
46,,
47,,
48,,
49,,
