,topic,tweet_volume
0,COVID-19,1047051.0
1,Mickey,20038.0
2,Normunds,
3,Nezinu,
4,vispār,
5,Neesmu,
6,Jūsu,
7,Tieši,
8,Baltijas,
9,Paldies,
10,Protams,
11,Lūdzu,
12,Diemžēl,
13,Ļoti,
14,galvenais,
15,Tāpēc,
16,precīzi,
17,Rīga,
18,Tagad,
19,Tukumā,
20,Latvija,
